reception_time,id,sim_time,ue[0]_x,ue[0]_y,ue[0]_z,ue[1]_x,ue[1]_y,ue[1]_z,ue[2]_x,ue[2]_y,ue[2]_z,ue[3]_x,ue[3]_y,ue[3]_z,gnb_x,gnb_y,gnb_z
2026-01-21 10:50:31.027,1,0.104,903.921,690.367,0,922.77,644.056,0,950.232,709.216,0,857.609,671.518,0,726,277,0
2026-01-21 10:50:31.530,2,0.111,904.184,689.719,0,923.033,643.408,0,950.496,708.568,0,857.873,670.87,0,726,277,0
2026-01-21 10:50:32.033,3,0.117,904.411,689.163,0,923.26,642.852,0,950.722,708.012,0,858.1,670.314,0,726,277,0
2026-01-21 10:50:32.535,4,0.125,904.712,688.422,0,923.561,642.111,0,951.023,707.271,0,858.401,669.573,0,726,277,0
2026-01-21 10:50:33.039,5,0.131,904.938,687.866,0,923.787,641.555,0,951.25,706.715,0,858.627,669.018,0,726,277,0
2026-01-21 10:50:33.541,6,0.137,905.165,687.311,0,924.014,641,0,951.476,706.16,0,858.854,668.462,0,726,277,0
2026-01-21 10:50:34.044,7,0.142,905.353,686.848,0,924.202,640.537,0,951.664,705.697,0,859.042,667.999,0,726,277,0
2026-01-21 10:50:34.547,8,0.15,905.655,686.107,0,924.504,639.796,0,951.966,704.956,0,859.344,667.258,0,726,277,0
