time,ue[0]_x,ue[0]_y,ue[0]_z,ue[1]_x,ue[1]_y,ue[1]_z,ue[2]_x,ue[2]_y,ue[2]_z,ue[3]_x,ue[3]_y,ue[3]_z,gnb_x,gnb_y,gnb_z
0.001	900.038	699.907	0	918.887	653.596	0	946.349	718.756	0	853.727	681.058	0	726	277	0
0.002	900.075	699.815	0	918.924	653.504	0	946.386	718.664	0	853.764	680.966	0	726	277	0
0.003	900.113	699.722	0	918.962	653.411	0	946.424	718.571	0	853.802	680.873	0	726	277	0
0.004	900.151	699.63	0	919	653.318	0	946.462	718.478	0	853.84	680.781	0	726	277	0
0.005	900.188	699.537	0	919.037	653.226	0	946.5	718.386	0	853.877	680.688	0	726	277	0
0.006	900.226	699.444	0	919.075	653.133	0	946.537	718.293	0	853.915	680.595	0	726	277	0
0.007	900.264	699.352	0	919.113	653.041	0	946.575	718.201	0	853.953	680.503	0	726	277	0
0.008	900.302	699.259	0	919.151	652.948	0	946.613	718.108	0	853.99	680.41	0	726	277	0
0.009	900.339	699.166	0	919.188	652.855	0	946.65	718.015	0	854.028	680.317	0	726	277	0
0.01	900.377	699.074	0	919.226	652.763	0	946.688	717.923	0	854.066	680.225	0	726	277	0
0.011	900.415	698.981	0	919.264	652.67	0	946.726	717.83	0	854.104	680.132	0	726	277	0
0.012	900.452	698.889	0	919.301	652.577	0	946.763	717.737	0	854.141	680.04	0	726	277	0
0.013	900.49	698.796	0	919.339	652.485	0	946.801	717.645	0	854.179	679.947	0	726	277	0
0.014	900.528	698.703	0	919.377	652.392	0	946.839	717.552	0	854.217	679.854	0	726	277	0
0.015	900.565	698.611	0	919.414	652.3	0	946.877	717.46	0	854.254	679.762	0	726	277	0
0.016	900.603	698.518	0	919.452	652.207	0	946.914	717.367	0	854.292	679.669	0	726	277	0
0.017	900.641	698.425	0	919.49	652.114	0	946.952	717.274	0	854.33	679.576	0	726	277	0
0.018	900.679	698.333	0	919.527	652.022	0	946.99	717.182	0	854.367	679.484	0	726	277	0
0.019	900.716	698.24	0	919.565	651.929	0	947.027	717.089	0	854.405	679.391	0	726	277	0
0.02	900.754	698.148	0	919.603	651.836	0	947.065	716.996	0	854.443	679.299	0	726	277	0
0.021	900.792	698.055	0	919.641	651.744	0	947.103	716.904	0	854.481	679.206	0	726	277	0
0.022	900.829	697.962	0	919.678	651.651	0	947.14	716.811	0	854.518	679.113	0	726	277	0
0.023	900.867	697.87	0	919.716	651.559	0	947.178	716.719	0	854.556	679.021	0	726	277	0
0.024	900.905	697.777	0	919.754	651.466	0	947.216	716.626	0	854.594	678.928	0	726	277	0
0.025	900.942	697.684	0	919.791	651.373	0	947.254	716.533	0	854.631	678.836	0	726	277	0
0.026	900.98	697.592	0	919.829	651.281	0	947.291	716.441	0	854.669	678.743	0	726	277	0
0.027	901.018	697.499	0	919.867	651.188	0	947.329	716.348	0	854.707	678.65	0	726	277	0
0.028	901.056	697.407	0	919.904	651.095	0	947.367	716.256	0	854.744	678.558	0	726	277	0
0.029	901.093	697.314	0	919.942	651.003	0	947.404	716.163	0	854.782	678.465	0	726	277	0
0.03	901.131	697.221	0	919.98	650.91	0	947.442	716.07	0	854.82	678.372	0	726	277	0
0.031	901.169	697.129	0	920.018	650.818	0	947.48	715.978	0	854.858	678.28	0	726	277	0
0.032	901.206	697.036	0	920.055	650.725	0	947.517	715.885	0	854.895	678.187	0	726	277	0
0.033	901.244	696.943	0	920.093	650.632	0	947.555	715.792	0	854.933	678.095	0	726	277	0
0.034	901.282	696.851	0	920.131	650.54	0	947.593	715.7	0	854.971	678.002	0	726	277	0
0.035	901.319	696.758	0	920.168	650.447	0	947.631	715.607	0	855.008	677.909	0	726	277	0
0.036	901.357	696.666	0	920.206	650.355	0	947.668	715.515	0	855.046	677.817	0	726	277	0
0.037	901.395	696.573	0	920.244	650.262	0	947.706	715.422	0	855.084	677.724	0	726	277	0
0.038	901.433	696.48	0	920.281	650.169	0	947.744	715.329	0	855.121	677.631	0	726	277	0
0.039	901.47	696.388	0	920.319	650.077	0	947.781	715.237	0	855.159	677.539	0	726	277	0
0.04	901.508	696.295	0	920.357	649.984	0	947.819	715.144	0	855.197	677.446	0	726	277	0
0.041	901.546	696.202	0	920.395	649.891	0	947.857	715.051	0	855.235	677.354	0	726	277	0
0.042	901.583	696.11	0	920.432	649.799	0	947.894	714.959	0	855.272	677.261	0	726	277	0
0.043	901.621	696.017	0	920.47	649.706	0	947.932	714.866	0	855.31	677.168	0	726	277	0
0.044	901.659	695.925	0	920.508	649.614	0	947.97	714.774	0	855.348	677.076	0	726	277	0
0.045	901.696	695.832	0	920.545	649.521	0	948.008	714.681	0	855.385	676.983	0	726	277	0
0.046	901.734	695.739	0	920.583	649.428	0	948.045	714.588	0	855.423	676.89	0	726	277	0
0.047	901.772	695.647	0	920.621	649.336	0	948.083	714.496	0	855.461	676.798	0	726	277	0
0.048	901.809	695.554	0	920.658	649.243	0	948.121	714.403	0	855.498	676.705	0	726	277	0
0.049	901.847	695.462	0	920.696	649.15	0	948.158	714.31	0	855.536	676.613	0	726	277	0
0.05	901.885	695.369	0	920.734	649.058	0	948.196	714.218	0	855.574	676.52	0	726	277	0
0.051	901.923	695.276	0	920.772	648.965	0	948.234	714.125	0	855.611	676.427	0	726	277	0
0.052	901.96	695.184	0	920.809	648.873	0	948.271	714.033	0	855.649	676.335	0	726	277	0
0.053	901.998	695.091	0	920.847	648.78	0	948.309	713.94	0	855.687	676.242	0	726	277	0
0.054	902.036	694.998	0	920.885	648.687	0	948.347	713.847	0	855.725	676.149	0	726	277	0
0.055	902.073	694.906	0	920.922	648.595	0	948.384	713.755	0	855.762	676.057	0	726	277	0
0.056	902.111	694.813	0	920.96	648.502	0	948.422	713.662	0	855.8	675.964	0	726	277	0
0.057	902.149	694.721	0	920.998	648.409	0	948.46	713.569	0	855.838	675.872	0	726	277	0
0.058	902.186	694.628	0	921.035	648.317	0	948.498	713.477	0	855.875	675.779	0	726	277	0
0.059	902.224	694.535	0	921.073	648.224	0	948.535	713.384	0	855.913	675.686	0	726	277	0
0.06	902.262	694.443	0	921.111	648.132	0	948.573	713.292	0	855.951	675.594	0	726	277	0
0.061	902.3	694.35	0	921.148	648.039	0	948.611	713.199	0	855.988	675.501	0	726	277	0
0.062	902.337	694.257	0	921.186	647.946	0	948.648	713.106	0	856.026	675.408	0	726	277	0
0.063	902.375	694.165	0	921.224	647.854	0	948.686	713.014	0	856.064	675.316	0	726	277	0
0.064	902.413	694.072	0	921.262	647.761	0	948.724	712.921	0	856.102	675.223	0	726	277	0
0.065	902.45	693.98	0	921.299	647.668	0	948.761	712.828	0	856.139	675.131	0	726	277	0
0.066	902.488	693.887	0	921.337	647.576	0	948.799	712.736	0	856.177	675.038	0	726	277	0
0.067	902.526	693.794	0	921.375	647.483	0	948.837	712.643	0	856.215	674.945	0	726	277	0
0.068	902.563	693.702	0	921.412	647.391	0	948.875	712.551	0	856.252	674.853	0	726	277	0
0.069	902.601	693.609	0	921.45	647.298	0	948.912	712.458	0	856.29	674.76	0	726	277	0
0.07	902.639	693.516	0	921.488	647.205	0	948.95	712.365	0	856.328	674.668	0	726	277	0
0.071	902.677	693.424	0	921.525	647.113	0	948.988	712.273	0	856.365	674.575	0	726	277	0
0.072	902.714	693.331	0	921.563	647.02	0	949.025	712.18	0	856.403	674.482	0	726	277	0
0.073	902.752	693.239	0	921.601	646.927	0	949.063	712.088	0	856.441	674.39	0	726	277	0
0.074	902.79	693.146	0	921.639	646.835	0	949.101	711.995	0	856.479	674.297	0	726	277	0
0.075	902.827	693.053	0	921.676	646.742	0	949.138	711.902	0	856.516	674.204	0	726	277	0
0.076	902.865	692.961	0	921.714	646.65	0	949.176	711.81	0	856.554	674.112	0	726	277	0
0.077	902.903	692.868	0	921.752	646.557	0	949.214	711.717	0	856.592	674.019	0	726	277	0
0.078	902.94	692.775	0	921.789	646.464	0	949.252	711.624	0	856.629	673.927	0	726	277	0
0.079	902.978	692.683	0	921.827	646.372	0	949.289	711.532	0	856.667	673.834	0	726	277	0
0.08	903.016	692.59	0	921.865	646.279	0	949.327	711.439	0	856.705	673.741	0	726	277	0
0.081	903.054	692.498	0	921.902	646.187	0	949.365	711.347	0	856.742	673.649	0	726	277	0
0.082	903.091	692.405	0	921.94	646.094	0	949.402	711.254	0	856.78	673.556	0	726	277	0
0.083	903.129	692.312	0	921.978	646.001	0	949.44	711.161	0	856.818	673.463	0	726	277	0
0.084	903.167	692.22	0	922.016	645.909	0	949.478	711.069	0	856.856	673.371	0	726	277	0
0.085	903.204	692.127	0	922.053	645.816	0	949.515	710.976	0	856.893	673.278	0	726	277	0
0.086	903.242	692.034	0	922.091	645.723	0	949.553	710.883	0	856.931	673.186	0	726	277	0
0.087	903.28	691.942	0	922.129	645.631	0	949.591	710.791	0	856.969	673.093	0	726	277	0
0.088	903.317	691.849	0	922.166	645.538	0	949.629	710.698	0	857.006	673	0	726	277	0
0.089	903.355	691.757	0	922.204	645.446	0	949.666	710.606	0	857.044	672.908	0	726	277	0
0.09	903.393	691.664	0	922.242	645.353	0	949.704	710.513	0	857.082	672.815	0	726	277	0
0.091	903.431	691.571	0	922.279	645.26	0	949.742	710.42	0	857.119	672.722	0	726	277	0
0.092	903.468	691.479	0	922.317	645.168	0	949.779	710.328	0	857.157	672.63	0	726	277	0
0.093	903.506	691.386	0	922.355	645.075	0	949.817	710.235	0	857.195	672.537	0	726	277	0
0.094	903.544	691.294	0	922.393	644.982	0	949.855	710.142	0	857.232	672.445	0	726	277	0
0.095	903.581	691.201	0	922.43	644.89	0	949.892	710.05	0	857.27	672.352	0	726	277	0
0.096	903.619	691.108	0	922.468	644.797	0	949.93	709.957	0	857.308	672.259	0	726	277	0
0.097	903.657	691.016	0	922.506	644.705	0	949.968	709.865	0	857.346	672.167	0	726	277	0
