SnapshotID	TimestampMS	SimTimeInPacket	Status
1	1772893897427	83.4	SENT
2	1772893897531	83.4	SENT
3	1772893897628	83.4	SENT
4	1772893897725	83.4	SENT
5	1772893897825	83.4	SENT
6	1772893897930	83.4	SENT
7	1772893898023	83.4	SENT
8	1772893898122	83.4	SENT
9	1772893898228	83.4	SENT
10	1772893898324	83.4	SENT
11	1772893898425	83.4	SENT
12	1772893898531	83.4	SENT
13	1772893898624	83.4	SENT
14	1772893898723	83.4	SENT
15	1772893898823	83.4	SENT
16	1772893898928	83.4	SENT
17	1772893899024	83.4	SENT
18	1772893899126	83.4	SENT
19	1772893899226	83.4	SENT
20	1772893899327	83.4	SENT
21	1772893899426	83.4	SENT
22	1772893899526	83.4	SENT
23	1772893899626	83.4	SENT
24	1772893899731	83.4	SENT
25	1772893899826	83.4	SENT
26	1772893899925	83.4	SENT
27	1772893900025	83.4	SENT
28	1772893900126	83.4	SENT
29	1772893900227	83.4	SENT
30	1772893900326	83.4	SENT
31	1772893900427	83.4	SENT
32	1772893900528	83.4	SENT
33	1772893900628	83.4	SENT
34	1772893900727	83.4	SENT
35	1772893900830	83.4	SENT
36	1772893900929	83.4	SENT
37	1772893901027	83.4	SENT
38	1772893901128	83.4	SENT
39	1772893901228	83.4	SENT
40	1772893901327	83.4	SENT
41	1772893901427	83.4	SENT
42	1772893901528	83.4	SENT
43	1772893901628	83.4	SENT
44	1772893901728	83.4	SENT
45	1772893901830	83.4	SENT
46	1772893901929	83.4	SENT
47	1772893902030	83.4	SENT
48	1772893902129	83.4	SENT
49	1772893902229	83.4	SENT
50	1772893902328	83.4	SENT
51	1772893902428	83.4	SENT
52	1772893902530	83.4	SENT
53	1772893902631	83.4	SENT
54	1772893902731	83.4	SENT
55	1772893902829	83.4	SENT
56	1772893902930	83.4	SENT
57	1772893903030	83.4	SENT
58	1772893903130	83.4	SENT
59	1772893903232	83.4	SENT
60	1772893903329	83.4	SENT
61	1772893903430	83.4	SENT
62	1772893903530	83.4	SENT
63	1772893903631	83.4	SENT
64	1772893903731	83.4	SENT
65	1772893903828	83.4	SENT
66	1772893903931	83.4	SENT
67	1772893904030	83.4	SENT
68	1772893904132	83.4	SENT
69	1772893904231	83.4	SENT
70	1772893904332	83.4	SENT
71	1772893904428	83.4	SENT
72	1772893904527	83.4	SENT
73	1772893904633	83.4	SENT
74	1772893904732	83.4	SENT
75	1772893904838	83.4	SENT
76	1772893904933	83.4	SENT
77	1772893905032	83.4	SENT
78	1772893905133	83.4	SENT
79	1772893905237	83.4	SENT
80	1772893905332	83.4	SENT
81	1772893905432	83.4	SENT
82	1772893905534	83.4	SENT
83	1772893905644	83.4	SENT
84	1772893905733	83.4	SENT
85	1772893905835	83.4	SENT
86	1772893905934	83.4	SENT
87	1772893906033	83.4	SENT
88	1772893906133	83.4	SENT
89	1772893906237	83.4	SENT
90	1772893906335	83.4	SENT
91	1772893906434	83.4	SENT
92	1772893906535	83.4	SENT
93	1772893906636	83.4	SENT
94	1772893906739	83.4	SENT
95	1772893906835	83.4	SENT
96	1772893906935	83.4	SENT
97	1772893907034	83.4	SENT
98	1772893907136	83.4	SENT
99	1772893907236	83.4	SENT
100	1772893907337	83.4	SENT
101	1772893907443	83.4	SENT
102	1772893907536	83.4	SENT
103	1772893907633	83.4	SENT
104	1772893907750	83.4	SENT
105	1772893907836	83.4	SENT
106	1772893907937	83.4	SENT
107	1772893908037	83.4	SENT
108	1772893908137	83.4	SENT
109	1772893908239	83.4	SENT
110	1772893908336	83.4	SENT
111	1772893908437	83.4	SENT
112	1772893908559	83.4	SENT
113	1772893908635	83.4	SENT
114	1772893908738	83.4	SENT
115	1772893908838	83.4	SENT
116	1772893908938	83.4	SENT
117	1772893909036	83.4	SENT
118	1772893909137	83.4	SENT
119	1772893909236	83.4	SENT
120	1772893909340	83.4	SENT
